,field_year,field_category,field_publication,title,field_abbr_citation
179,1986,Spot News Photography,The Miami Herald,Carol Guzy and Michel du Cille,For their photographs of the devastation caused by the eruption of the Nevado del Ruiz volcano in Colombia.
180,1985,Spot News Photography,The Register,Photography Staff,For their exceptional coverage of the Olympic games.
181,1984,Spot News Photography,The Boston Globe,Stan Grossfeld,For his series of unusual photographs which reveal the effects of war on the people of Lebanon.
182,1983,Spot News Photography,Associated Press,Bill Foley,For his moving series of pictures of victims and survivors of the massacre in the Sabra Camp in Beirut.
183,1982,Spot News Photography,Associated Press,Ron Edmonds,For his coverage of the Reagan assassination attempt.
184,1981,Spot News Photography,Fort Worth (TX) Star-Telegram,Larry C. Price,For his photographs from Liberia.
185,1980,Spot News Photography,Ettela&#039;at,Jahangir Razmi,"For the photograph &quot;Firing Squad in Iran&quot; that was distributed by United Press International. The photographer remained anonymous until his identity was revealed, with his consent, by Josh Prager of The Wall Street Journal in 2006."
186,1979,Spot News Photography,Pottstown (PA) Mercury,Thomas J. Kelly III,For a series called &quot;Tragedy on Sanatoga Road.&quot;
187,1978,Spot News Photography,United Press International,John H. Blair,For a photograph of an Indianapolis broker being held hostage at gunpoint.
188,1977,Spot News Photography,Boston Herald American,Stanley Forman,For his photograph of a youth using the flag as a lance in street disorders.
189,1977,Spot News Photography,Associated Press,Neal Ulevich,For a series of photographs of disorder and brutality in the streets of Bangkok.
190,1976,Spot News Photography,Boston Herald American,Stanley Forman,"For his sequence of photographs of a fire in Boston on July 22, 1975."
191,1975,Spot News Photography,The Seattle Times,Gerald H. Gay,"For his photograph of four exhausted firemen, &quot;Lull in the Battle.&quot;"
192,1974,Spot News Photography,,Anthony K. Roberts,"For his picture series, &quot;Fatal Hollywood Drama,&quot; in which an alleged kidnapper was killed."
193,1973,Spot News Photography,Associated Press,Huynh Cong Ut,"For his photograph, &quot;The Terror of War,&quot; depicting children in flight from a napalm bombing."
194,1972,Spot News Photography,Associated Press,Horst Faas and Michel Laurent,"For their picture series, &quot;Death in Dacca.&quot;"
195,1971,Spot News Photography,Valley Daily News and Daily Dispatch,John Paul Filo,"For his pictorial coverage of the Kent State University tragedy on May 4, 1970."
196,1970,Spot News Photography,Associated Press,Steve Starr,"For his news photo taken at Cornell University, &quot;Campus Guns.&quot;"
197,1969,Spot News Photography,Associated Press,Edward T. Adams,"For his photograph, &quot;Saigon Execution.&quot;"
198,1968,Spot News Photography,Jacksonville Journal,Rocco Morabito,"For his photograph, &quot;The Kiss of Life.&quot;"
199,1997,Spot News Reporting,Newsday,Staff,For its enterprising coverage of the crash of TWA Flight 800 and its aftermath.
200,1996,Spot News Reporting,The New York Times,Robert D. McFadden,For his highly skilled writing and reporting on deadline during the year.
201,1995,Spot News Reporting,Los Angeles Times,Staff,"For its reporting on January 17, 1994, of the chaos and devastation in the aftermath of the Northridge earthquake."
202,1994,Spot News Reporting,The New York Times,Staff,For its comprehensive coverage of the bombing of Manhattan&#039;s World Trade Center.
203,1993,Spot News Reporting,Los Angeles Times,Staff,"For balanced, comprehensive, penetrating coverage under deadline pressure of the second, most destructive day of the Los Angeles riots."
204,1992,Spot News Reporting,Newsday,Staff,For coverage of a midnight subway derailment in Manhattan that left five passengers dead and more than 200 injured.
205,1991,Spot News Reporting,The Miami Herald,Staff,"For stories profiling a local cult leader, his followers, and their links to several area murders."
206,1947,Telegraphic Reporting - International,Associated Press,Eddy Gilmore,For his correspondence from Moscow in 1946.
207,1946,Telegraphic Reporting - International,New York Herald Tribune,Homer William Bigart,For his distinguished reporting during the year 1945 from the Pacific war theatre.
208,1945,Telegraphic Reporting - International,The Baltimore Sun,Mark S. Watson,"For his distinguished reporting during the year 1944 from Washington, London and the fronts in Sicily, Italy, and France."
209,1944,Telegraphic Reporting - International,Associated Press,Daniel De Luce,For his distinguished reporting during the year 1943.
210,1943,Telegraphic Reporting - International,"North American Newspaper Alliance, Inc.",Ira Wolfert,For his series of three articles on the fifth battle of the Solomons.
211,1942,Telegraphic Reporting - International,Associated Press,Laurence Edmund Allen,"For his stories of the activities of the British Mediterranean Fleet, written as an accredited correspondent attached to the fleet."
212,1947,Telegraphic Reporting - National,The Washington Post,Edward T. Folliard,"For his series of articles published during 1946 on the Columbians, Inc.."
213,1946,Telegraphic Reporting - National,St. Louis Post-Dispatch,Edward A. Harris,For his articles on the Tidewater Oil situation which contributed to the nation-wide opposition to the appointment and confirmation of Edwin W. Pauley as Undersecretary of the Navy.
214,1945,Telegraphic Reporting - National,The New York Times,James B. Reston,For his news dispatches and interpretive articles on the Dumbarton Oaks security conference.
215,1944,Telegraphic Reporting - National,The Baltimore Sun,Dewey L. Fleming,For his distinguished reporting during the year 1943.
216,1942,Telegraphic Reporting - National,The New York Times,Louis Stark,For his distinguished reporting of important labor stories during the year.
217,2006,Beat Reporting,The Washington Post,Dana Priest,"For her persistent, painstaking reports on secret &quot;black site&quot; prisons and other controversial features of the government&#039;s counterterrorism campaign."
218,2005,Beat Reporting,The Wall Street Journal,Amy Dockser Marcus,"For her masterful stories about patients, families and physicians that illuminated the often unseen world of cancer survivors."
219,2004,Beat Reporting,The Wall Street Journal,Daniel Golden,For his compelling and meticulously documented stories on admission preferences given to the children of alumni and donors at American universities.
220,2003,Beat Reporting,The Baltimore Sun,Diana K. Sugg,"For her absorbing, often poignant stories that illuminated complex medical issues through the lives of people."
221,2002,Beat Reporting,The New York Times,Gretchen Morgenson,For her trenchant and incisive Wall Street coverage.
222,2001,Beat Reporting,The New York Times,David Cay Johnston,"For his penetrating and enterprising reporting that exposed loopholes and inequities in the U.S. tax code, which was instrumental in bringing about reforms."
223,2000,Beat Reporting,St. Paul Pioneer Press,George Dohrmann,"For his determined reporting, despite negative reader reaction, that revealed academic fraud in the men&#039;s basketball program at the University of Minnesota."
224,1999,Beat Reporting,Los Angeles Times,Chuck Philips and Michael A. Hiltzik,"For their stories on corruption in the entertainment industry, including a charity sham sponsored by the National Academy of Recording Arts and Sciences, illegal detoxification programs for wealthy celebrities, and a resurgence of radio payola."
225,1998,Beat Reporting,The New York Times,Linda Greenhouse,For her consistently illuminating coverage of the United States Supreme Court.
226,1997,Beat Reporting,The Seattle Times,Byron Acohido,"For his coverage of the aerospace industry, notably an exhaustive investigation of rudder control problems on the Boeing 737, which contributed to new FAA requirements for major improvements."
227,1996,Beat Reporting,Newsday,Bob Keeler,For his detailed portrait of a progressive local Catholic parish and its parishioners.
228,1995,Beat Reporting,The Boston Globe,David Shribman,For his analytical reporting on Washington developments and the national scene.
229,1994,Beat Reporting,The Detroit News,Eric Freedman and Jim Mitzelfeld,For dogged reporting that disclosed flagrant spending abuses at Michigan&#039;s House Fiscal Agency.
230,1993,Beat Reporting,The Wall Street Journal,Paul Ingrassia and Joseph B. White,For often exclusive coverage of General Motors&#039; management turmoil.
231,1992,Beat Reporting,The Sacramento (CA) Bee,Deborah Blum,"For her series, &quot;The Monkey Wars,&quot; which explored the complex ethical and moral questions surrounding primate research."
232,1991,Beat Reporting,The New York Times,Natalie Angier,For her compelling and illuminating reports on a variety of scientific topics.
233,1972,Criticism or Commentary,Chicago Daily News,Mike Royko,For his columns during 1971.
234,1972,Criticism or Commentary,St. Louis Post-Dispatch,Frank Peters Jr.,For his music criticism during 1971.
